41281446,geometry
96607690,"POLYGON ((114.4602089 22.6025275, 114.4606296 22.6032141, 114.4620986 22.6036917, 114.4640593 22.604044, 114.4657831 22.6039226, 114.4679227 22.6033979, 114.4675568 22.6026792, 114.4683446 22.6020676, 114.4676535 22.6015124, 114.4696077 22.5992905, 114.4732588 22.5993834, 114.4753132 22.5993127, 114.4766162 22.5986003, 114.4777816 22.5977472, 114.4783475 22.5965634, 114.4809487 22.5966968, 114.4825867 22.5968112, 114.4833437 22.5967532, 114.4838782 22.5957662, 114.4826456 22.594252, 114.4814521 22.5927859, 114.4802391 22.5924063, 114.4796828 22.5919674, 114.479938 22.5914088, 114.4794785 22.5912324, 114.4797083 22.5906082, 114.479438 22.5905351, 114.4790292 22.5900182, 114.4775045 22.5874707, 114.4771745 22.5876975, 114.4765687 22.588114, 114.4756541 22.5887426, 114.4743588 22.5883819, 114.473413 22.5896538, 114.4730272 22.589918, 114.4705788 22.5889701, 114.4693287 22.5910129, 114.4670216 22.5902644, 114.4669655 22.5902462, 114.466146 22.5911121, 114.4666104 22.5918064, 114.466932 22.5921547, 114.4670808 22.5930082, 114.4670911 22.593019, 114.4671495 22.5930809, 114.4672165 22.5931517, 114.4672432 22.5931799, 114.4677213 22.5936953, 114.4677821 22.5937497, 114.4676524 22.5938117, 114.4657372 22.5952473, 114.4666639 22.5959866, 114.4667001 22.5974356, 114.4662071 22.5982194, 114.4658031 22.5976937, 114.4646497 22.5983708, 114.4650589 22.5991507, 114.4625089 22.6003515, 114.4630226 22.6010739, 114.4610955 22.6019183, 114.4610902 22.6020194, 114.4602089 22.6025275))"
96607711,"POLYGON ((114.4810127 22.5402753, 114.4817913 22.5411021, 114.4818655 22.5414353, 114.4821525 22.541579, 114.4823778 22.5413189, 114.4830375 22.5405287, 114.4833572 22.5402398, 114.4837164 22.5393239, 114.4837648 22.5392864, 114.4842207 22.5391685, 114.4847141 22.5383709, 114.4855366 22.5380291, 114.4863384 22.5384659, 114.4874281 22.5388077, 114.4881683 22.5390356, 114.4884767 22.5396243, 114.4900598 22.5397382, 114.4910878 22.5394344, 114.4920131 22.5393394, 114.492856 22.5388647, 114.49337 22.5381051, 114.4939942 22.5376144, 114.4929416 22.5354631, 114.4924341 22.535735, 114.4923816 22.5357631, 114.4922836 22.5358156, 114.491981 22.5358521, 114.4915862 22.5350742, 114.490402 22.5349284, 114.4904362 22.5348127, 114.4905204 22.5345273, 114.4896519 22.5341384, 114.488915 22.5333727, 114.4889282 22.5325705, 114.4886519 22.532376, 114.4876913 22.5330445, 114.4865465 22.5321329, 114.4854543 22.5321451, 114.4851897 22.5331447, 114.4853096 22.5335307, 114.4861145 22.5338144, 114.4864403 22.5340752, 114.4868036 22.5353429, 114.4867448 22.5355784, 114.4865202 22.5361316, 114.4859208 22.536842, 114.4858076 22.5369894, 114.4854938 22.5370067, 114.4845464 22.5364962, 114.4841047 22.5364626, 114.4835954 22.5371306, 114.4837196 22.5377874, 114.4835794 22.5379671, 114.4834962 22.538579, 114.4832307 22.538849, 114.4810127 22.5402753))"
103193159,"POLYGON ((114.0450026 22.6697714, 114.046108 22.6705835, 114.0467587 22.6707674, 114.0475301 22.6707417, 114.0478039 22.6704377, 114.0458517 22.6689571, 114.0457046 22.6689941, 114.0450026 22.6697714))"
160786570,"POLYGON ((113.9301773 22.4980431, 113.9302415 22.4981181, 113.9317313 22.4984522, 113.9319975 22.4972163, 113.9312607 22.4970738, 113.9303967 22.4969084, 113.9301773 22.4980431))"
166478601,"POLYGON ((114.226527 22.5493377, 114.2274189 22.5497801, 114.2277394 22.5493229, 114.2278266 22.5492798, 114.2278749 22.5491807, 114.2278038 22.5490702, 114.2269683 22.5488388, 114.226527 22.5493377))"
182033933,"POLYGON ((114.0970858 22.5535467, 114.0991346 22.5535645, 114.0991495 22.5520985, 114.0990901 22.5520936, 114.0971007 22.5520807, 114.0970903 22.5530729, 114.0970901 22.553159, 114.0970858 22.5535467))"
199073025,"POLYGON ((114.1721322 22.6413628, 114.1730978 22.6414124, 114.1739068 22.6412237, 114.1746363 22.6412732, 114.1753493 22.6414409, 114.1754794 22.6414548, 114.1764125 22.6414718, 114.1764125 22.6378481, 114.1722288 22.6370163, 114.1721322 22.6413628))"
215910639,"POLYGON ((113.915396 22.5415997, 113.9155744 22.5426124, 113.9158533 22.5427561, 113.9166339 22.5426505, 113.9167053 22.5425189, 113.9166178 22.5422131, 113.91647 22.5421217, 113.9160656 22.5422403, 113.915812 22.5414642, 113.915396 22.5415997))"
219960258,"POLYGON ((113.910696 22.5385851, 113.9113937 22.5385851, 113.9113931 22.5393922, 113.9145701 22.5388538, 113.9142886 22.537204, 113.9142375 22.5358016, 113.9137288 22.5357625, 113.9128036 22.5356914, 113.9108426 22.5355242, 113.910696 22.5385851))"
